id;lang;word;definition;hint;difficulty;nbTimesChosen
119;F;BUCOLIQUE;Relatif à la vie champêtre et pastorale;;H;0
120;F;CHARISMATIQUE;Qui a une influence exceptionnelle;;H;0
121;F;CHARLATAN;Qui prétend avoir des connaissances qu'il n'a pas;;H;0
122;F;EXCENTRIQUE;Se comporte de manière inhabituelle;;H;0
123;F;INDOLENCE;Nonchalance;;H;0
124;F;INEXORABLE;Impitoyable;;H;0
125;F;INTRANSIGEANT;Inflexible;;H;0
126;F;INTRIGANT;Mystérieux;;H;0
127;F;MÉPHISTOPHÉLIQUE;Qui évoque la ruse et la malice;;H;0
128;F;NOSTALGIE;Regret lié au passé;;H;0
129;F;OBSTINÉ;Qui maintient fermement une position;;H;0
130;F;OMNIPOTENCE;Pouvoir absolu et illimité;;H;0
131;F;OMNIPOTENT;Qui a un pouvoir absolu et illimité;;H;0
132;F;PERSPICACE;Clairvoyant;;H;0
133;F;PROCRASTINER;Remettre syst�matiquement les choses � plus tard;;H;0
134;F;PRÉJUGÉ;Opinion préconçue;;H;0
135;F;PRÉMÉDITATION;Résolution prise à l'avance d'effectuer une action;;H;0
136;F;PRÉMÉDITER;Réfléchir et planifier à l'avance un acte ou une décision;;H;0
137;F;RÉMINISCENCE;Souvenir vague;;H;0
138;F;RÉTICENT;Réservé, hésitant;;H;0
139;F;SOLENNEL;Caractère sérieux et formel;;H;0
140;F;SOPHISTIQUÉ;Complexe et élaboré;;H;0
141;F;SOPORIFIQUE;Provoque le sommeil;;H;0
142;F;SUPPOSER;Admettre une hypothèse;;H;0
143;F;TRAGÉDIE;Evènement malheureux;;H;0
144;F;ÉNIGMATIQUE;Mystérieux;;H;0
145;F;ÉPIGRAPHE;Citation en tête d'un ouvrage;;H;0
146;F;ÉQUIVOQUE;Susceptible d'interprétations multiples;;H;0
147;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
148;F;ÉRUDITION;Savoir étendu sur un sujet;;H;0
