id;lang;word;definition;hint;difficulty;nbTimesChosen

;F;ÉNIGMATIQUE;Qui présente un caractère mystérieux et difficile à comprendre;;H;0
;F;PHÉNOMÉNAL;Extraordinaire et remarquable;;H;0
;F;IMPÉNÉTRABLE;Qui est difficile à comprendre ou à pénétrer;;H;0
;F;MÉTICULEUX;Qui fait preuve d'un grand souci du détail et de la précision;;H;0
;F;PALPITANT;Qui suscite de l'excitation et de l'intérêt;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;INGÉNIOSITÉ;Capacité à trouver des solutions créatives et astucieuses;;H;0
;F;EXUBÉRANT;Qui déborde d'énergie et d'enthousiasme;;H;0
;F;PERSÉVÉRER;Continuer malgré les difficultés et les obstacles;;H;0
;F;INTRIGANT;Qui suscite l'intérêt et l'envie de découvrir son mystère;;H;0
;F;MAGNANIME;Qui fait preuve de générosité et de clémence envers autrui;;H;0
;F;PROFUSION;Grande abondance et richesse de quelque chose;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;DÉCONCERTANT;Qui perturbe et désoriente par son caractère surprenant;;H;0
;F;VOLUBILE;Qui parle avec une grande facilité et abondance de mots;;H;0
;F;ENNUYEUX;Qui provoque l'ennui et l'absence d'intérêt;;H;0
;F;VÉHÉMENCE;Intensité et passion dans l'expression des émotions;;H;0
;F;APATHIE;Absence d'émotions, de motivation ou d'intérêt;;H;0
;F;SOPHISTIQUÉ;Qui est complexe, élaboré et raffiné;;H;0
;F;OMNIPRÉSENT;Qui est présent partout en même temps;;H;0
;F;MÉLANCOLIE;Sentiment de tristesse vague et mélancolique;;H;0
;F;PERSPICACE;Qui fait preuve d'une grande clairvoyance et d'une compréhension fine;;H;0
;F;PARADOXE;Situation ou affirmation qui contredit les idées reçues;;H;0
;F;TACITURNE;Qui parle peu, réservé et silencieux;;H;0
;F;INTRINSÈQUE;Qui est inhérent à quelque chose, qui lui est propre;;H;0
;F;COMPLEXITÉ;Caractère de ce qui est complexe et difficile à comprendre;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;PERPLEXE;Qui est confus et incertain, qui ne sait pas quoi penser;;H;0
;F;INGÉNIOSITÉ;Capacité à trouver des solutions créatives et astucieuses;;H;0
;F;SUBTILITÉ;Caractère de ce qui est fin, délicat et difficile à percevoir;;H;0
;F;ÉQUIVOQUE;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CURIOSITÉ;Désir d'apprendre et de découvrir de nouvelles choses;;H;0
;F;COMPLEXITÉ;Caractère de ce qui est complexe et difficile à comprendre;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;PRODIGIEUX;Extraordinaire et remarquable par sa grandeur ou son talent;;H;0
;F;MAGNANIMITÉ;Grande générosité et noblesse d'âme;;H;0
;F;HYPOTHÈSE;Proposition formulée à titre d'explication provisoire;;H;0
;F;VICISSITUDES;Changements et revers de fortune dans la vie;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;PERNICIEUX;Qui est nocif et dangereux;;H;0
;F;ÉLUCIDER;Clarifier et rendre clair un sujet ou un problème;;H;0
;F;SCEPTIQUE;Qui doute et remet en question les idées et les croyances;;H;0
;F;INTÉGRITÉ;Qualité de quelqu'un qui respecte les principes moraux et les valeurs;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;RÉCALCITRANT;Qui résiste et refuse de se soumettre à une autorité ou à une demande;;H;0
;F;PARADOXAL;Qui contredit les attentes et les idées reçues;;H;0
;F;RÉTICENCE;Hésitation ou refus à s'exprimer ou à donner des informations;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTROVERSÉ;Qui suscite des opinions divergentes et des débats houleux;;H;0
;F;INTRÉPIDE;Qui ne connaît pas la peur et fait preuve de courage;;H;0
;F;RAFFINEMENT;Caractère de ce qui est subtil, délicat et élégant;;H;0
;F;INDÉFECTIBLE;Qui ne faiblit pas, qui reste solide et constant;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;PERSÉVÉRER;Continuer malgré les difficultés et les obstacles;;H;0
;F;MÉLODIEUX;Qui produit une mélodie agréable et harmonieuse;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;PRODIGALITÉ;Caractère de quelqu'un qui dépense de manière excessive et irresponsable;;H;0
;F;INEFFABLE;Qui ne peut être exprimé par les mots, indicible;;H;0
;F;AMBIVALENT;Qui éprouve des sentiments contradictoires à l'égard d'une personne ou d'une situation;;H;0
;F;ÉNIGMATIQUE;Qui présente un caractère mystérieux et difficile à comprendre;;H;0
;F;INTRIGANT;Qui suscite l'intérêt et l'envie de découvrir son mystère;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;EXALTATION;État d'excitation intense et d'enthousiasme;;H;0
;F;INDOLENCE;Tendance à éviter l'effort et la paresse;;H;0
;F;UBIQUITÉ;Caractère de ce qui est présent en plusieurs endroits à la fois;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;PERPLEXITÉ;État de confusion et d'incertitude;;H;0
;F;TACITURNE;Qui parle peu, réservé et silencieux;;H;0
;F;SYMBIOSE;Relation d'interdépendance et de coopération mutuelle;;H;0
;F;PARADOXE;Situation ou affirmation qui contredit les idées reçues;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;INTRÉPIDITÉ;Absence de peur et de crainte, courage;;H;0
;F;SUBTILITÉ;Caractère de ce qui est fin, délicat et difficile à percevoir;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;RÉTICENCE;Hésitation ou refus à s'exprimer ou à donner des informations;;H;0
;F;PROLIFIQUE;Qui produit en abondance et avec facilité;;H;0
;F;PROCRASTINATION;Tendance à remettre systématiquement les choses à plus tard;;H;0
;F;ÉNIGMATIQUE;Qui présente un caractère mystérieux et difficile à comprendre;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;ÉQUIVOQUE;Ambiguïté dans le sens ou dans l'intention;;H;0
;F;PRAGMATIQUE;Qui privilégie l'efficacité et les résultats concrets;;H;0
;F;OPULENCE;Grande richesse et abondance matérielle;;H;0
;F;VOLUPTÉ;Plaisir sensuel et intense;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;RÉMINISCENCE;Souvenir vague et fugace d'un événement passé;;H;0
;F;INGÉNIOSITÉ;Capacité à trouver des solutions créatives et astucieuses;;H;0
;F;INTRANSIGEANT;Qui ne fait aucun compromis et reste inflexible sur ses principes;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
;F;CONTRADICTION;Opposition entre deux idées ou deux faits;;H;0
;F;ÉLÉGANCE;Caractère de ce qui est raffiné, gracieux et harmonieux;;H;0
;F;ÉQUIVOQUER;Tromper ou induire en erreur par des propos ambigus;;H;0
